sentences,class
0,กินได้ไหม,การกิน
1,กินได้หรือเปล่า,การกิน
2,เมนูกินได้รึเปล่า,การกิน
3,การกินของผู้ป่วย,การกิน
4,กินข้าวอะไรได้บ้าง,การกิน
5,กินอะไรได้บ้าง,การกิน
6,ควรกินอะไร,การกิน
7,กินอะไรดี,การกิน
8,ควรกินอะไร,การกิน
9,ควรรับประทานอะไร,การกิน
10,รับประทานอะไรได้บ้าง,การกิน
11,รับประทานอะไรดี,การกิน
12,แนะนำอาหารที่ควรรับประทานหน่อย,การกิน
13,แนะนำเมนูที่ควรกิน,การกิน
14,แนะนำเมนููที่ควรรับประทาน,การกิน
15,เมนูที่ควรกิน,การกิน
16,เมนูที่ควรรับประทาน,การกิน
17,เมนู,การกิน
18,อาหารที่ควรกิน,การกิน
19,อาหารที่สามารถทานได้,การกิน
20,อาหารที่สามารถกินได้,การกิน
21,อาหารที่ไม่ควรรับประทาน,การกิน
22,แนะนำอาหารหน่อย,การกิน
23,อาหารอะไรบ้างที่กินได้,การกิน
24,กินอะไรได้ไม่ได้,การกิน
25,รับประทานอะไรไม่ได้,การกิน
26,ไม่ควรรับประทานอะไร,การกิน
27,ห้ามกินอะไร,การกิน
28,ห้ามรับประทานอะไร,การกิน
29,เมนูที่ห้ามกิน,การกิน
30,เมนูที่กินไม่ได้,การกิน
31,อาหารที่กินไม่ได้,การกิน
32,ห้ามกินเมนูอะไร,การกิน
33,ห้ามกินอาหารอะไร,การกิน
34,ห้ามรับประทานอะไร,การกิน
35,อาหารที่ไม่ควรกิน,การกิน
36,อาหารที่ห้ามกิน,การกิน
37,อาหารที่กินไม่ได้,การกิน
38,ไม่กินอะไร,การกิน
39,ต้องนอนยังไง,การนอน
40,นอนกี่ชั่วโมง,การนอน
41,นอนวันละกี่ชั่วโมง,การนอน
42,นอนวันละเท่าไหร่,การนอน
43,นอนเท่าไหร่ถึงพอ,การนอน
44,พักผ่อนแค่ไหนถึงดี,การนอน
45,นอนหลับกี่ชั่วโมง,การนอน
46,นอนหลับกี่โมง,การนอน
47,นอนหลับเวลาไหน,การนอน
48,หลับกี่ชั่วโมง,การนอน
49,หลับแค่ไหนถึงดี,การนอน
50,ต้องนอนวันละกี่ชั่วโมง,การนอน
51,หลับวันละกี่ชั่วโมง,การนอน
52,นอนกี่ชมถึงพอ,การนอน
53,นอนตอนไหน,การนอน
54,หลับกี่ทุ่ม,การนอน
55,ต้องพักผ่อนกี่ชั่วโมง,การนอน
56,ออกกำลังกายยังไง,การออกกำลังกาย
57,การออกกำลังกาย,การออกกำลังกาย
58,ออกกำลังกายวันละเท่าไหร่,การออกกำลังกาย
59,อยากรู้เรื่องการออกกำลังกาย,การออกกำลังกาย
60,ออกกำลังกายเท่าไหร่ถึงดี,การออกกำลังกาย
61,ออกกำลังกายวันละกี่ชั่วโมง,การออกกำลังกาย
62,ออกกำลังกายวันละกี่ี่นาที,การออกกำลังกาย
63,ท่าออกกำลังกาย,การออกกำลังกาย
64,ออกกำลังกายแบบไหน,การออกกำลังกาย
65,ควรออกกำลังยังไง,การออกกำลังกาย
66,ออกกำลังกายได้ไหม,การออกกำลังกาย
67,ควรออกกำลังกายแบบใด,การออกกำลังกาย
68,ออกกำลังกาย,การออกกำลังกาย
69,ออกกำลังท่าไหนได้บ้าง,การออกกำลังกาย
70,เดินเร็วได้มั้ย,การออกกำลังกาย
71,วิ่งเหยาะได้มั้ย,การออกกำลังกาย
72,ต้องออกกำลังกายยังไง,การออกกำลังกาย
